date,hour_of_day,time_after,num_restore
2008-02-05,22,0,0
2008-02-06,16,18,5300
2008-02-08,16,66,18400
2008-02-09,9,83,19900
2008-02-11,12,134,20000
2009-06-12,23,0,0
2009-06-13,11,12,29000
2009-06-13,19,20,55000
2009-06-14,11,36,77000
2009-06-15,12,61.5,97000
2009-06-16,16,84.5,112000
2009-06-16,11,89.5,109000
2009-06-17,10,107,118000
2009-06-18,10,131.5,125100
2009-06-19,22,167,128800
2009-06-19,23,168,130000
2011-04-04,8,0,0
2011-04-04,17,9,13500
2011-04-04,20,12,29000
2011-04-05,17,27.5,43500
2011-04-05,8,36,46500
2011-04-06,8,51.5,51500
2011-04-08,8,99.5,62500
2011-04-19,23,0,0
2011-04-20,1,2.75,10000
2011-04-20,8,9.75,20000
2011-04-20,16,17.75,36000
2011-04-21,8,33.75,43000
2011-04-22,8,57.75,57000
2011-04-23,8,81.75,63150
2011-04-26,20,0,0
2011-04-27,7,11,26000
2011-04-28,8,36,48600
2011-04-29,8,60,53600
2011-04-29,18,70,55600
2014-04-02,11,0,0
2014-04-03,10,23,25000
2014-04-04,10,45,62000
2014-04-04,16,51,74000
2014-04-05,9,68,77500
2014-04-05,16,75,78500
2014-04-07,10,93,82500
2015-07-14,15,0,0
2015-07-15,8,17,21000
2015-07-15,17,26,24000
2015-07-16,9,42,27500
2015-07-17,10,67,28000
2015-08-05,16,0,0
2015-08-06,9,17,44000
2015-08-06,18,26,55000
2015-08-07,10,42,61000
2015-08-07,18,50,63000
2015-08-08,10,66,67800
2016-04-30,8,0,0
2016-04-30,15,7,22500
2016-04-30,20,12,24500
2016-05-01,8,24,34300
2016-06-15,20,0,0
2016-06-16,9,13,42647
2016-06-16,16,20,48000
2016-06-17,16,44,53300
2016-06-17,23,51,54000
2017-05-27,22,0,0
2017-05-28,10,11.25,41000
2017-05-29,10,35.25,73000
2017-05-29,18,41.25,96000
2017-05-30,10,57.25,123000
2017-05-30,18,65.25,141000
2017-05-31,10,81.25,143000
2017-05-31,18,89.25,146000
2017-06-01,10,105.25,156000
2017-06-01,18,113.25,161000
2017-06-02,10,129.25,166000
2017-06-02,18,137.25,170000
2017-06-03,10,153.25,174000
2017-06-04,10,177.25,181000
2017-06-05,10,201.25,185500
2017-06-07,10,249.25,188000
